"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","demographic__special_variable","mdpop45t49","MdAge","6382","557.484528933315","5.31019069527151","0","0","true","542513","0","","0","0","false","-536131","557.484528933315","true","0","0",""
"","demographic","demographic__special_variable","mdpop50t54","MdAge","6712","563.311636663046","5.10188743893844","0","0","true","544447","0","","0","0","false","-537735","563.311636663046","true","0","0",""
"","demographic","demographic__special_variable","mdpop55t59","MdAge","5912","540.208293161073","5.55470397811338","0","0","true","515825","0","","0","0","false","-509913","540.208293161073","true","0","0",""
"","demographic","demographic__special_variable","mdpop5t9","MdAge","7478","632.453160320984","5.1413480378999","0","0","true","476567","0","","0","0","false","-469089","632.453160320984","true","0","0",""
"","demographic","demographic__special_variable","mdpop60t61","MdAge","2203","328.866234204729","9.07483810291105","0","0","true","203884","0","","0","0","false","-201681","328.866234204729","true","0","0",""
"","demographic","demographic__special_variable","mdpop62t64","MdAge","2386","317.672787629032","8.09363606929561","0","0","true","266773","0","","0","0","false","-264387","317.672787629032","true","0","0",""
"","demographic","demographic__special_variable","mdpop65t66","MdAge","1546","272.222335600883","10.7040557886765","0","0","true","168701","0","","0","0","false","-167155","272.222335600883","true","0","0",""
"","demographic","demographic__special_variable","mdpop67t69","MdAge","2337","329.678631397305","8.57563294321181","0","0","true","215921","0","","0","0","false","-213584","329.678631397305","true","0","0",""
"","demographic","demographic__special_variable","mdpop70t74","MdAge","3162","409.538764953942","7.87348942233748","0","0","true","280196","0","","0","0","false","-277034","409.538764953942","true","0","0",""
"","demographic","demographic__special_variable","mdpop75t79","MdAge","2010","291.08418026406","8.80352584385248","0","0","true","211102","0","","0","0","false","-209092","291.08418026406","true","0","0",""
"","demographic","demographic__special_variable","mdpop80t84","MdAge","1769","305.276923464582","10.4905979015356","0","0","true","148988","0","","0","0","false","-147219","305.276923464582","true","0","0",""
"","demographic","demographic__special_variable","mdpop85pl","MdAge","1054","210.230825522805","12.1252271285423","0","0","true","164453","0","","0","0","false","-163399","210.230825522805","true","0","0",""
"","demographic","demographic__special_variable","mdpop_3","MdAge","129976","2695.49030790318","1.26069115210196","0","0","true","8443713","0","","0","0","false","-8313737","2695.49030790318","true","0","0",""
"","demographic","hispanic_subgroup","hsp2","Hsp2","71908","2661.92486745964","2.25036353227743","1","0","true","2457137","0","0","1","0","true","-2385229","2661.92486745964","true","0","0",""
"","demographic","hispanic_subgroup","hspalloth","Hsp2","1962","494.765601067819","15.329733045426","0.0272848639928798","0.00680599661247135","true","73407","3230","2.7","0.03","0.001","true","-71445","3267.673943342573","true","-0.27151360071202024","0.6879068969633281","false"
