"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","social","ancestry","jamaican","Pop_5","1623","414.276477729547","15.5169318601916","0.0124869206622761","0.00317679346221368","true","227289","5261","1.4","0.027","0.001","true","-225666","5277.285855437433","true","-1.4513079337723902","0.3330467940329644","true"
"","social","ancestry","jrdnian","Pop_5","0","0","","0","0","false","1679","362","13.1","0","0","true","-1679","362","true","0","0",""
"","social","ancestry","kenyan","Pop_5","0","0","","0","0","false","814","390","29.1","0","0","false","-814","390","false","0","0",""
"","social","ancestry","latvian","Pop_5","19","23.7697286480094","76.050963519467","0.000146180833384625","0.000182852699950577","false","4086","631","9.4","0","0","true","-4067","631.4475433478224","true","0.0146180833384625","0.0182852699950577","false"
"","social","ancestry","lebanese","Pop_5","76","41.7731971484108","33.4132116048719","0.000584723333538499","0.000321162775259728","false","12214","1129","5.6","0.001","0","true","-12138","1129.7725434794386","true","0","0.0321162775259728",""
"","social","ancestry","liberian","Pop_5","1","6","364.741641337386","0.00000769372807287499","0.0000461620926932331","false","2607","670","15.6","0","0","true","-2606","670.0268651330333","true","0.000769372807287499","0.00461620926932331","false"
"","social","ancestry","lthian","Pop_5","271","165.951800231272","37.226034439882","0.00208500030774912","0.0012760556428932","false","13567","870","3.9","0.002","0","true","-13296","885.6861746691093","true","0.008500030774911987","0.12760556428932","false"
"","social","ancestry","luxmbgr","Pop_5","0","0","","0","0","false","300","110","22.3","0","0","false","-300","110","false","0","0",""
"","social","ancestry","macdnian","Pop_5","45","57.974132162543","78.3169634076906","0.000346217763279375","0.000445979415156774","false","8489","1560","11.2","0.001","0","true","-8444","1561.076871906057","true","-0.0653782236720625","0.044597941515677406","false"
"","social","ancestry","maltese","Pop_5","8","14","106.382978723404","0.0000615498245829999","0.000107704629512823","false","2417","534","13.4","0","0","true","-2409","534.1834890746811","true","0.006154982458299991","0.0107704629512823","false"
"","social","ancestry","moroccan","Pop_5","64","52","49.3920972644377","0.000492398596663999","0.000399943518081856","false","9353","1073","7","0.001","0","true","-9289","1074.259279689964","true","-0.0507601403336001","0.0399943518081856","false"
"","social","ancestry","neurpn","Pop_5","69","60.4648658313239","53.2706628177824","0.000530867237028374","0.000465069945406143","false","4259","676","9.6","0.001","0","true","-4190","678.6987549716","true","0","0.0465069945406143",""
"","social","ancestry","nigerian","Pop_5","280","213.803648238284","46.4185080847339","0.002154243860405","0.00164434034235586","false","31374","2223","4.3","0.004","0","true","-31094","2233.2579340506104","true","-0.18457561395950003","0.164434034235586","false"
"","social","ancestry","norwgian","Pop_5","325","111.503363177978","20.8563690770124","0.00250046162368437","0.000856307883834092","false","24554","1544","3.8","0.003","0","true","-24229","1548.0209946896716","true","0","0.0856307883834092",""
"","social","ancestry","nzealnd","Pop_5","0","0","","0","0","false","808","274","20.6","0","0","false","-808","274","false","0","0",""
"","social","ancestry","oarab","Pop_5","124","69.3397432934389","33.9934029284434","0.000954022281036499","0.000533114129089197","false","27140","2397","5.4","0.003","0","true","-27016","2398.0027105906283","true","-0.2045977718963501","0.0533114129089197","true"
"","social","ancestry","osubsafr","Pop_5","42","39.8246155034798","57.6416493030536","0.00032313657906075","0.00030632647055842","false","24367","2994","7.5","0.003","0","true","-24325","2994.264851344984","true","-0.267686342093925","0.030632647055842004","true"
"","social","ancestry","othr","Pop_5","88723","2794.6994471678","1.91484219312668","0.682610635809688","0.0161840164142068","true","4498476","16772","0.2","0.533","0.002","true","-4409753","17003.244660946333","true","14.96106358096879","1.6307126886589038","true"
"","social","ancestry","owind","Pop_5","0","0","","0","0","false","1235","364","17.9","0","0","true","-1235","364","true","0","0",""
"","social","ancestry","palstnian","Pop_5","39","39.6988664825584","61.879614188385","0.000300055394842125","0.000305368888923221","false","4192","819","11.9","0","0","true","-4153","819.9615844660041","true","0.0300055394842125","0.0305368888923221","false"
"","social","ancestry","penngerm","Pop_5","6","9","91.1854103343465","0.00004616236843725","0.0000692369345029608","false","466","178","23.2","0","0","false","-460","178.22738285684386","false","0.004616236843725","0.00692369345029608","false"
"","social","ancestry","polish","Pop_5","1851","329.451058580785","10.8197838868265","0.0142410906628916","0.0025174421369494","true","200541","4442","1.3","0.024","0.001","true","-198690","4454.200489425683","true","-0.9758909337108399","0.27087847668074994","true"
"","social","ancestry","pop_5","Pop_5","129976","2695.49030790318","1.26069115210196","1","0","true","8443713","0","0","1","0","true","-8313737","2695.49030790318","true","0","0",""
"","social","ancestry","portgese","Pop_5","151","72.6154253585283","29.2338514698478","0.00116175293900412","0.000558163600225511","false","13837","1168","5.1","0.002","0","true","-13686","1170.2551003947815","true","-0.08382470609958802","0.055816360022551095","false"
"","social","ancestry","romanian","Pop_5","312","123.166553901617","23.9978477713384","0.002400443158737","0.000946301477397706","false","27656","1605","3.5","0.003","0","true","-27344","1609.7189195632882","true","-0.05995568412629998","0.0946301477397706","false"
"","social","ancestry","russian","Pop_5","831","192.462983453962","14.0792748659623","0.00639348802855912","0.00147480967965832","true","198079","4184","1.3","0.023","0","true","-197248","4188.424286053169","true","-1.6606511971440878","0.147480967965832","true"
"","social","ancestry","safrican","Pop_5","8","13","98.7841945288754","0.0000615498245829999","0.000100010319585991","false","1883","402","13","0","0","true","-1875","402.2101440789379","true","0.006154982458299991","0.0100010319585991","false"
"","social","ancestry","scandnvn","Pop_5","53","40.3112887414927","46.236495660369","0.000407767587862375","0.000310028785204577","false","4377","510","7.1","0.001","0","true","-4324","511.5906566777779","true","-0.059223241213762504","0.0310028785204577","false"
"","social","ancestry","scottish","Pop_5","538","137","15.4800510728692","0.00413922570320675","0.00105053950551319","true","39035","1806","2.8","0.005","0","true","-38497","1811.188836096336","true","-0.08607742967932502","0.105053950551319","false"
"","social","ancestry","sctchirsh","Pop_5","283","105.89145385724","22.7461853259669","0.00217732504462362","0.000813447769853809","false","14021","908","3.9","0.002","0","true","-13738","914.1537069880535","true","0.017732504462361964","0.0813447769853809","false"
"","social","ancestry","serbian","Pop_5","59","43.3820239269677","44.6983915583615","0.000453929956299625","0.000333636714123517","false","6534","1136","10.6","0.001","0","true","-6475","1136.828043285351","true","-0.05460700437003751","0.0333636714123517","false"
"","social","ancestry","slavic","Pop_5","40","52","79.0273556231003","0.000307749122915","0.000400022950114665","false","3893","817","12.8","0","0","true","-3853","818.6531622121788","true","0.030774912291500003","0.0400022950114665","false"
"","social","ancestry","sleonean","Pop_5","0","0","","0","0","false","1085","391","21.9","0","0","false","-1085","391","false","0","0",""
"","social","ancestry","slovak","Pop_5","62","40.4598566482878","39.6704153821824","0.00047701114051825","0.000311129908768746","false","6764","582","5.2","0.001","0","true","-6702","583.4046623056761","true","-0.05229888594817501","0.0311129908768746","false"
"","social","ancestry","slovene","Pop_5","11","12.0415945787923","66.5465298634556","0.0000846310088016249","0.0000926281279231913","false","1708","336","12","0","0","true","-1697","336.2157045707413","true","0.00846310088016249","0.00926281279231913","false"
"","social","ancestry","snglese","Pop_5","46","70","92.5069380203515","0.00035391149135225","0.000538510950842035","false","4599","1277","16.9","0.001","0","true","-4553","1278.9171200668166","true","-0.064608850864775","0.05385109508420349","false"
"","social","ancestry","somali","Pop_5","32","36","68.3890577507599","0.000246199298332","0.000276927146453208","false","859","687","48.6","0","0","false","-827","687.9425848135875","false","0.0246199298332","0.0276927146453208","false"
"","social","ancestry","subsaf","Pop_5","1404","411.285788716313","17.8078173830875","0.0108019942143165","0.00315638154443625","true","198870","6245","1.9","0.024","0.001","true","-197466","6258.528660955385","true","-1.3198005785683498","0.3311003541837092","true"
"","social","ancestry","sudanese","Pop_5","0","0","","0","0","false","1410","634","27.3","0","0","false","-1410","634","false","0","0",""
"","social","ancestry","svtunion","Pop_5","0","0","","0","0","false","501","223","27.1","0","0","false","-501","223","false","0","0",""
"","social","ancestry","swedish","Pop_5","318","103.324730824716","19.7520083394919","0.00244660552717425","0.00079333150916803","true","23149","1325","3.5","0.003","0","true","-22831","1329.0225731717276","true","-0.05533944728257498","0.079333150916803","false"
"","social","ancestry","swiss","Pop_5","232","117.324336776306","30.7421488251508","0.001784944912907","0.000901902220379212","false","8316","887","6.5","0.001","0","true","-8084","894.7256562768277","true","0.07849449129069999","0.0901902220379212","false"
"","social","ancestry","syrian","Pop_5","13","21","98.1996726677578","0.000100018464947375","0.000161554974524675","false","10533","1078","6.2","0.001","0","true","-10520","1078.2045260524553","true","-0.08999815350526251","0.0161554974524675","true"
"","social","ancestry","tandtob","Pop_5","670","275.697297774207","25.0144987319519","0.00515479780882624","0.00211844447835888","false","72059","3108","2.6","0.009","0","true","-71389","3120.2039997410425","true","-0.3845202191173759","0.211844447835888","false"
"","social","ancestry","turkish","Pop_5","134","110.168053445634","49.9787022844593","0.00103095956176525","0.000847333346693042","false","13695","1239","5.5","0.002","0","true","-13561","1243.8882586470538","true","-0.09690404382347502","0.0847333346693042","false"
"","social","ancestry","ugandan","Pop_5","0","0","","0","0","false","508","342","40.9","0","0","false","-508","342","false","0","0",""
"","social","ancestry","ukrnian","Pop_5","248","99.9049548320803","24.4889094107462","0.001908044562073","0.000767622353268543","false","64635","2254","2.1","0.008","0","true","-64387","2256.212977535587","true","-0.6091955437927","0.0767622353268543","true"
"","social","ancestry","unclsnr","Pop_5","18382","1458.42929208104","4.82310497378015","0.141426109435588","0.01083066208556","true","1062483","17821","1","0.126","0.002","true","-1044101","17880.577647268557","true","1.5426109435588007","1.10137750663243","false"
"","social","ancestry","usvrgis","Pop_5","0","0","","0","0","false","2703","529","11.9","0","0","true","-2703","529","true","0","0",""
"","social","ancestry","welsh","Pop_5","216","98.8989383158384","27.8337662714844","0.001661845263741","0.000760120639154524","false","11121","828","4.5","0.001","0","true","-10905","833.8854837446206","true","0.0661845263741","0.0760120639154524","false"
